64;Ивановская обл, село Чернореченский;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
65;Ивановская обл., г Шуя;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
66;Московская обл, г Серпухов;Тульская обл, г Ясногорск;03.04.2023;14:00;любой
67;Ивановская обл., село Богородское;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
68;г Иваново;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
69;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;06.04.2023;21:00;любой
70;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;06.04.2023;22:00;любой
71;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
72;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
73;Московская обл, г Серпухов;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
74;Тульская обл, г Ясногорск;республика Татарстан, г. Зеленодольск;03.04.2023;23:00;любой
75;Тульская обл, г Ясногорск;республика Татарстан, г. Зеленодольск;05.04.2023;22:00;любой
76;г Иваново;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
77;Калужская обл, г Малоярославец;Тульская обл, г Ясногорск;03.04.2023;14:00;любой
78;Владимирская обл., г. Гусь-Хрустальный;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
79;Тульская обл, г Богородицк;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
80;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;03.04.2023;00:00;любой
81;Краснодарский край, Новороссийск;Пятигорск;04.04.2023;16:55;любой
82;Краснодарский край, Новороссийск;Пятигорск;04.04.2023;16:55;любой
83;Краснодарский край, Новороссийск;Пятигорск;03.04.2023;13:30;любой
84;Респ Адыгея, Адыгейск;Краснодарский край, Новороссийск;03.04.2023;17:00;любой
85;Краснодарский край, Новороссийск;Краснодар;03.04.2023;18:30;любой
86;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;05.04.2023;00:00;любой
87;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;05.04.2023;00:00;любой
88;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;06.04.2023;00:00;любой
89;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;06.04.2023;00:00;любой
90;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;06.04.2023;00:00;любой
91;Ярославская обл., Рыбинск;Владимирская обл, г Ковров;06.04.2023;00:00;любой
92;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;05.04.2023;22:00;любой
93;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;06.04.2023;22:00;любой
94;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;06.04.2023;23:00;любой
95;Ярославская обл., Рыбинск;Республика Татарстан, Зеленодольский район, село Осиново;06.04.2023;00:00;любой
96;Ярославская обл., Рыбинск;Чебоксары;06.04.2023;00:00;любой
97;Ярославская обл., Рыбинск;г Рязань;06.04.2023;00:00;любой
98;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;06.04.2023;00:00;любой
99;г Иваново;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
100;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;06.04.2023;17:55;любой
101;Краснодарский край, Новороссийск;Пятигорск;06.04.2023;12:00;любой
102;Краснодарский край, Новороссийск;Пятигорск;06.04.2023;16:55;любой
103;Ярославская обл., Рыбинск;Курск;08.04.2023;00:00;любой
104;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;07.04.2023;00:00;любой
105;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;08.04.2023;20:00;любой
106;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;07.04.2023;00:00;любой
107;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;08.04.2023;21:00;любой
108;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;07.04.2023;16:15;любой
109;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;07.04.2023;12:00;любой
110;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;любой
111;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;любой
112;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;любой
113;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;любой
114;Ярославская обл., Рыбинск;Чебоксары;07.04.2023;00:00;любой
115;Ярославская обл., г Ростов;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
116;г. Рязань;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
117;Ярославская обл., г. Ростов;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
118;г Иваново;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
119;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;любой
120;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
121;Тульская обл, г Суворов;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
122;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;07.04.2023;22:00;любой
123;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;07.04.2023;23:00;любой
124;г Владимир;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
125;Тульская обл;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
126;Московская обл, г Чехов;Тульская обл, г Ясногорск;08.04.2023;10:00;любой
127;Ивановская обл, село Бибирево;Тульская обл, г Ясногорск;07.04.2023;16:00;любой
128;г Тула;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
129;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
130;Ивановская обл, Приволжск;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
131;г Иваново;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
132;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;07.04.2023;23:00;любой
133;г Иваново;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
134;Новочебоксарск;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
135;г Иваново;Тульская обл, г Ясногорск;07.04.2023;16:00;любой
136;г Иваново;Тульская обл, г Ясногорск;07.04.2023;16:00;любой
137;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;задний
138;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;задний
139;г Казань;Ярославская обл., Рыбинск;07.04.2023;00:00;боковой
140;Краснодарский край, Новороссийск;Пятигорск;07.04.2023;13:30;любой
141;Казань;Ярославская обл., Рыбинск;07.04.2023;00:00;боковой
142;Казань г.;Ярославская обл., Рыбинск;07.04.2023;00:00;задний
143;Ярославская обл., Рыбинск;г Калуга;07.04.2023;00:00;любой
144;Ярославская обл., Рыбинск;Республика Татарстан, Зеленодольский район, село Осиново;07.04.2023;00:00;любой
145;Московская обл, г Серпухов;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
146;Краснодарский край, Новороссийск;Пятигорск;07.04.2023;15:00;любой
147;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;07.04.2023;16:00;любой
148;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;задний
149;Ивановская обл., село Богородское;Ярославская обл., Рыбинск;07.04.2023;00:00;задний
150;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;задний
151;РФ, Краснодарский край, Краснодар г;Краснодарский край, Новороссийск;07.04.2023;17:00;любой
152;РФ, Краснодарский край, Краснодар г;Краснодарский край, Новороссийск;07.04.2023;17:00;любой
153;Ярославская обл., Рыбинск;Чебоксары;07.04.2023;00:00;любой
154;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;08.04.2023;12:00;любой
155;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;08.04.2023;12:00;любой
156;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;08.04.2023;22:00;любой
157;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;08.04.2023;00:00;любой
158;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;08.04.2023;00:00;любой
159;Ярославская обл., Рыбинск;Чебоксары;08.04.2023;00:00;любой
160;Ярославская обл., Рыбинск;Чебоксары;08.04.2023;00:00;любой
161;Ярославская обл., Рыбинск;Чебоксары;08.04.2023;00:00;любой
162;г Рязань;Тульская обл, г Ясногорск;08.04.2023;15:00;любой
163;Тульская обл, г Суворов;Тульская обл, г Ясногорск;08.04.2023;15:00;любой
164;Ярославская обл., Рыбинск;Малоярославец;08.04.2023;00:00;любой
165;Ивановская обл, деревня Большое Ступкино;Ярославская обл., Рыбинск;08.04.2023;00:00;любой
166;Ярославская обл., Рыбинск;Ивановская обл, г. Приволжск;08.04.2023;00:00;любой
167;г Иваново;Тульская обл, г Ясногорск;08.04.2023;15:00;любой
168;Иваново;Ярославская обл., Рыбинск;08.04.2023;00:00;любой
169;Иваново;Ярославская обл., Рыбинск;08.04.2023;00:00;задний
170;Ивановская обл., село Богородское;Тульская обл, г Ясногорск;08.04.2023;15:00;любой
171;г Иваново;Ярославская обл., Рыбинск;08.04.2023;00:00;любой
172;г. Рязань;Тульская обл, г Ясногорск;08.04.2023;15:00;любой
173;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;08.04.2023;23:00;любой
174;Казань г.;Ярославская обл., Рыбинск;08.04.2023;00:00;задний
175;г Казань;Ярославская обл., Рыбинск;08.04.2023;00:00;боковой
176;Ивановская обл, Приволжск;Тульская обл, г Ясногорск;08.04.2023;16:00;любой
177;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;08.04.2023;16:00;любой
178;Ивановская обл, село Чернореченский;Тульская обл, г Ясногорск;08.04.2023;16:00;любой
179;г Иваново;Тульская обл, г Ясногорск;08.04.2023;15:00;любой
180;г Иваново;Тульская обл, г Ясногорск;08.04.2023;15:00;любой
181;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;08.04.2023;23:00;любой
182;г Иваново;Тульская обл, г Ясногорск;08.04.2023;15:00;любой
183;г Иваново;Тульская обл, г Ясногорск;08.04.2023;15:00;любой
184;г Иваново;Ярославская обл., Рыбинск;08.04.2023;00:00;любой
185;Ярославская обл., Рыбинск;республика Татарстан, г. Зеленодольск;08.04.2023;00:00;любой
186;Ярославская обл., Рыбинск;республика Татарстан, г. Зеленодольск;08.04.2023;00:00;любой
187;Ярославская обл., Рыбинск;г Иваново;08.04.2023;00:00;любой
188;Казань;Ярославская обл., Рыбинск;08.04.2023;00:00;боковой
189;Казань;Ярославская обл., Рыбинск;08.04.2023;00:00;задний
190;РФ, Краснодарский край, Краснодар г;Краснодарский край, Новороссийск;08.04.2023;17:00;любой
191;Краснодарский край, Новороссийск;Пятигорск;09.04.2023;12:00;любой
192;Ярославская обл., Рыбинск;Иваново;08.04.2023;00:00;любой
193;Приволжск;Ярославская обл., Рыбинск;08.04.2023;00:00;задний
194;Ивановская обл, деревня Большое Ступкино;Ярославская обл., Рыбинск;09.04.2023;00:00;любой
195;Иваново;Ярославская обл., Рыбинск;09.04.2023;00:00;задний
196;г Иваново;Ярославская обл., Рыбинск;09.04.2023;00:00;задний
197;Казань г.;Ярославская обл., Рыбинск;09.04.2023;00:00;задний
198;Ярославская обл., Рыбинск;Калужская область, Боровского района, г.Балабаново;09.04.2023;00:00;любой
199;Ярославская обл., Рыбинск;Нижегородская обл, г Богородск;09.04.2023;00:00;любой
200;Ярославская обл., Рыбинск;Чебоксары;09.04.2023;00:00;любой
201;Московская обл, г Серпухов;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
202;Иваново;Ярославская обл., Рыбинск;09.04.2023;00:00;любой
203;Ивановская обл, посёлок Палех;Тульская обл, г Ясногорск;09.04.2023;16:00;любой
204;Тульская обл;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
205;Калужская обл, г Малоярославец;Тульская обл, г Ясногорск;09.04.2023;16:00;любой
206;Ивановская обл, посёлок Палех;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
207;Тульская обл, г Ясногорск;Ярославская обл, г Ярославль;09.04.2023;20:00;любой
208;г Иваново;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
209;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
210;Московская обл, г Серпухов;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
211;г Иваново;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
212;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;09.04.2023;00:00;любой
213;Тульская обл, г Ясногорск;г Иваново;09.04.2023;20:00;любой
214;г Иваново;Ярославская обл., Рыбинск;09.04.2023;00:00;задний
215;г Иваново;Ярославская обл., Рыбинск;09.04.2023;00:00;задний
216;Иваново;Ярославская обл., Рыбинск;09.04.2023;00:00;любой
217;Волгоград;Ярославская обл., Рыбинск;09.04.2023;00:00;любой
218;Ярославская обл., Рыбинск;республика Татарстан, г. Зеленодольск;09.04.2023;00:00;любой
219;г Иваново;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
220;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;09.04.2023;00:00;любой
221;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;09.04.2023;23:00;любой
222;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;09.04.2023;00:00;любой
223;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;09.04.2023;00:00;любой
224;г Иваново;Тульская обл, г Ясногорск;09.04.2023;14:00;любой
225;Ивановская обл.,Тейковский район, д Большое Ступкино;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
226;г Иваново;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
227;г Иваново;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
228;Казань;Ярославская обл., Рыбинск;09.04.2023;00:00;боковой
229;Ярославская обл., Рыбинск;г Рязань;09.04.2023;00:00;любой
230;Ярославская обл., Гаврилов-Ям;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
231;г Иваново;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
232;г Иваново;Тульская обл, г Ясногорск;09.04.2023;14:00;любой
233;г Иваново;Тульская обл, г Ясногорск;09.04.2023;16:00;любой
234;г. Рязань;Тульская обл, г Ясногорск;09.04.2023;15:00;любой
235;РФ, Краснодарский край, Краснодар г;Краснодарский край, Новороссийск;09.04.2023;17:00;любой
236;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;09.04.2023;16:00;любой
237;Иваново;Ярославская обл., Рыбинск;09.04.2023;00:00;любой
238;Ивановская обл., село Богородское;Ярославская обл., Рыбинск;09.04.2023;00:00;задний
239;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;09.04.2023;00:00;любой
240;Казань;Ярославская обл., Рыбинск;09.04.2023;00:00;боковой
241;Иваново;Ярославская обл., Рыбинск;09.04.2023;00:00;задний
242;г Казань;Ярославская обл., Рыбинск;09.04.2023;00:00;боковой
243;Ярославская обл., Рыбинск;Владимирская обл., г Радужный;09.04.2023;00:00;любой
244;г Иваново;Ярославская обл., Рыбинск;09.04.2023;00:00;любой
245;Ярославская обл., Рыбинск;г Иваново;09.04.2023;00:00;любой
246;Ярославская обл., Рыбинск;г Иваново;09.04.2023;00:00;любой
247;г Иваново;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
248;Ярославская обл., Рыбинск;Калужская обл, г Суворов;10.04.2023;00:00;любой
249;Ярославская обл., Рыбинск;Республика Татарстан, Зеленодольский район, село Осиново;10.04.2023;00:00;любой
250;Ярославская обл., Рыбинск;г Калуга;10.04.2023;00:00;любой
251;г Иваново;Ярославская обл., Рыбинск;10.04.2023;00:00;любой
252;Ярославская обл., Рыбинск;Нижегородская обл, г Богородск;10.04.2023;00:00;любой
253;Ярославская обл., Рыбинск;Чебоксары;10.04.2023;00:00;любой
254;Ярославская обл., Рыбинск;Чебоксары;10.04.2023;00:00;любой
255;Ярославская обл., Рыбинск;Калужская область, Боровского района, г.Балабаново;10.04.2023;00:00;любой
256;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;10.04.2023;00:00;любой
257;г Иваново;Ярославская обл., Рыбинск;10.04.2023;00:00;задний
258;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
259;г Иваново;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
260;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
261;Владимирская обл., г. Радужный;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
262;г Иваново;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
263;Тульская обл, г Ясногорск;г Иваново;10.04.2023;21:00;любой
264;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;10.04.2023;00:00;любой
265;Ярославская обл., Рыбинск;г Чебоксары;10.04.2023;00:00;любой
266;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
267;Ивановская обл, село Чернореченский;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
268;г Иваново;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
269;Тульская обл, г Ясногорск;Ивановская обл, г Фурманов;10.04.2023;22:00;любой
270;г Иваново;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
271;Тульская обл, г Ясногорск;г Иваново;10.04.2023;23:00;любой
272;Иваново;Ярославская обл., Рыбинск;10.04.2023;00:00;задний
273;Костромская обл., г. Нерехта;Ярославская обл., Рыбинск;10.04.2023;00:00;любой
274;Иваново;Ярославская обл., Рыбинск;10.04.2023;00:00;любой
275;Ивановская обл, деревня Большое Ступкино;Ярославская обл., Рыбинск;10.04.2023;00:00;любой
276;г Иваново;Ярославская обл., Рыбинск;10.04.2023;00:00;любой
277;Ярославская обл., Рыбинск;Ярославская обл, Переславль-Залесский;10.04.2023;00:00;любой
278;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;10.04.2023;00:00;любой
279;г Иваново;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
280;Ивановская обл., село Богородское;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
281;Ивановская обл, посёлок Палех;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
282;Тульская обл, поселок Петровский;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
283;г Казань;Ярославская обл., Рыбинск;10.04.2023;00:00;боковой
284;Казань;Ярославская обл., Рыбинск;10.04.2023;00:00;задний
285;Ивановская область, с. Шилыково;Тульская обл, г Ясногорск;10.04.2023;15:00;любой
286;РФ, Краснодарский край, Краснодар г;Краснодарский край, Новороссийск;10.04.2023;17:00;любой
287;Респ Адыгея, Адыгейск;Краснодарский край, Новороссийск;10.04.2023;17:00;любой
288;г Иваново;Ярославская обл., Рыбинск;10.04.2023;00:00;задний
289;Казань;Ярославская обл., Рыбинск;10.04.2023;00:00;боковой
290;Краснодарский край, Новороссийск;Пятигорск;10.04.2023;00:00;любой
291;Ярославская обл., Рыбинск;г. Казань;10.04.2023;00:00;любой
292;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;10.04.2023;00:00;любой
293;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;11.04.2023;10:00;любой
294;Ивановская обл., г. Шуя;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
295;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;11.04.2023;13:00;любой
296;Ивановская обл., д. Гоголево;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
297;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
298;г Рязань;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
299;Краснодарский край, Новороссийск;Пятигорск;11.04.2023;12:00;любой
300;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;11.04.2023;16:00;любой
301;г Иваново;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
302;г Иваново;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
303;Ивановская обл., село Богородское;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
304;Тульская обл, г Ясногорск;Владимирская обл., г Радужный;13.04.2023;21:00;любой
305;Тульская обл, г Ясногорск;г Ярославль;13.04.2023;22:00;любой
306;Тульская обл, г Ясногорск;г Иваново;13.04.2023;22:00;любой
307;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
308;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;11.04.2023;00:00;любой
309;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;11.04.2023;00:00;любой
310;Ярославская обл., Рыбинск;республика Татарстан, г. Зеленодольск;11.04.2023;00:00;любой
311;г Иваново;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
312;Тульская обл, г Ясногорск;г Ярославль;13.04.2023;22:00;любой
313;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;13.04.2023;21:00;любой
314;г Казань;Ярославская обл., Рыбинск;11.04.2023;00:00;боковой
315;Ивановская обл., Игнатово;Ярославская обл., Рыбинск;11.04.2023;00:00;любой
316;г Иваново;Ярославская обл., Рыбинск;11.04.2023;00:00;задний
